"","scenario","metal","mean_point_estimate","variance_point_estimate","bias","relative_bias","RMSE","coverage","TPR","FDR","model_type"
"1",1,1,0.0676091755453342,0.000102691899466309,0.0137484478229746,0.1699002784209,0.0165756970073445,0.65,1,NA,"linear"
"2",1,2,0.00286205632679685,0.000125081794202009,0.00933906263723941,Inf,0.0112702737726138,0.8,NA,0.2,"linear"
"3",1,3,0.000138001054904191,8.01358151230635e-05,0.00709920490908801,Inf,0.00872628607473219,0.95,NA,0.05,"linear"
"4",1,4,0.00495232232846133,0.00018718208969143,0.0120908290924005,Inf,0.0142249246624309,0.75,NA,0.25,"linear"
"5",1,5,0.0665176680422961,7.96803311785664e-05,0.00749703044260133,0.11126344937559,0.00874308125656501,1,1,NA,"linear"
"6",1,6,0.000197469254009819,0.000125014718894068,0.00824851254641107,Inf,0.0108996778418284,0.85,NA,0.15,"linear"
"7",1,7,0.000634048089277783,0.0001122643956221,0.00854082146212098,Inf,0.010346651285344,0.9,NA,0.1,"linear"
"8",1,8,-0.00151108399092411,8.41029208508609e-05,0.0073260784905217,Inf,0.00906538193546995,0.9,NA,0.1,"linear"
"9",1,9,-0.000262775909626123,6.72038584785838e-05,0.00653496371358336,Inf,0.00799454293461074,1,NA,0,"linear"
"10",1,10,0.000963044124427659,6.1281614861273e-05,0.00641826242390736,Inf,0.00769057787840445,1,NA,0,"linear"
"11",1,11,0.142099924864958,0.000441937558150806,0.0155821272864641,0.105070539774614,0.0214079712580961,0.95,NA,1,"linear"
"12",2,1,0.132256817072714,0.000131729133547934,0.0707442375431112,0.348491970531844,0.0716232491752969,0,1,NA,"linear"
"13",2,2,0.000642032826325822,0.000155131513467926,0.00893135080899166,Inf,0.0121567735828471,0.85,NA,0.15,"linear"
"14",2,3,0.00237204255907192,7.15523838380563e-05,0.00687969968977385,Inf,0.00857912294749306,0.95,NA,0.05,"linear"
"15",2,4,0.00181790873409509,5.87644717481192e-05,0.00628105970695043,Inf,0.00768967101547345,0.95,NA,0.05,"linear"
"16",2,5,0.131327895746533,0.000131301624906013,0.0138695028207738,0.0967594648135066,0.0164020570025923,0.65,1,NA,"linear"
"17",2,6,-0.00388179808089003,7.4023247044881e-05,0.0080143811546428,Inf,0.0092406948349915,0.95,NA,0.05,"linear"
"18",2,7,0.00076503844815401,6.71832979621639e-05,0.00591407088157576,Inf,0.00802554776268945,0.95,NA,0.05,"linear"
"19",2,8,3.17057863783221e-05,5.76298338678009e-05,0.00596952311047281,Inf,0.00739928019683676,0.95,NA,0.05,"linear"
"20",2,9,-0.00161561067101303,9.09510433987326e-05,0.00757383462897814,Inf,0.00943470662337135,0.95,NA,0.05,"linear"
"21",2,10,0.00377409816512742,9.89310558811006e-05,0.0085815618893246,Inf,0.0104032840991229,0.95,NA,0.05,"linear"
"22",2,11,0.267490130586496,0.000374622904373583,0.0788454326454252,0.227656183816811,0.0810709196210281,0,NA,1,"linear"
"23",3,1,0.131437318664629,0.00031418820572482,0.0715637359511956,0.352528887530306,0.0736196108297987,0,1,NA,"linear"
"24",3,2,0.000556410526825535,0.000332580131600605,0.0145716148796561,Inf,0.017783720580771,0.85,NA,0.15,"linear"
"25",3,3,-0.00264315236257889,0.00031931962264494,0.0124939020786272,Inf,0.0176164666129306,0.9,NA,0.1,"linear"
"26",3,4,-0.00354248924004817,0.000143229436967525,0.00985105002686221,Inf,0.0121908652332394,0.95,NA,0.05,"linear"
"27",3,5,0.142618244141359,0.000271564627241069,0.0145266469005427,0.101343977343297,0.0160781635867513,0.95,1,NA,"linear"
"28",3,6,0.00600927731291815,0.000164545108307893,0.011212590285146,Inf,0.0138718876406944,0.95,NA,0.05,"linear"
