"","scenario","metal","mean_point_estimate","variance_point_estimate","bias","relative_bias","RMSE","coverage","TPR","FDR","model_type"
"53",5,9,0.00661826031938635,0.000319213103653817,0.0165983744548132,Inf,0.0186293805083875,0.9,NA,0.1,"linear"
"54",5,10,0.00173567411607092,0.00018155989386715,0.0119093250608025,Inf,0.0132474323478549,0.95,NA,0.05,"linear"
"55",5,11,0.264231750828683,0.000119583806040699,0.0186971845802754,0.0661368929797288,0.0213269780742214,0.6,NA,1,"linear"
"56",6,1,0.187599469346158,8.01833173377808e-05,0.0257580886167506,0.159156382012195,0.0271965674425885,0.1,1,NA,"linear"
"57",6,2,-0.00156814817667683,0.000106725309548074,0.00821052718956328,Inf,0.0101905904036363,0.9,NA,0.1,"linear"
"58",6,3,-0.00247190852047257,6.94636432276425e-05,0.00701291093933634,Inf,0.00849121856978404,1,NA,0,"linear"
"59",6,4,-0.000772099312926811,3.57740943755363e-05,0.00494651289311507,Inf,0.00588060600667835,1,NA,0,"linear"
"60",6,5,0.134992767002756,9.87157710465492e-05,0.00709223477273802,0.0526279378640573,0.00968676085363197,0.9,1,NA,"linear"
"61",6,6,0.00018278326434964,9.39879292632611e-05,0.00739218829288859,Inf,0.00945102864887333,0.9,NA,0.1,"linear"
"62",6,7,-0.000852661218538975,4.04684038643503e-05,0.00502807089031565,Inf,0.00625875505390115,1,NA,0,"linear"
"63",6,8,-0.000709377486455587,4.26836579616395e-05,0.00569578441578575,Inf,0.00640723742980136,1,NA,0,"linear"
"64",6,9,0.000380999327602094,8.21640306175022e-05,0.00779852204328231,Inf,0.00884313233951976,0.95,NA,0.05,"linear"
"65",6,10,0.000704020663824601,0.000129250619950322,0.00886139074943948,Inf,0.0111033208567481,0.85,NA,0.15,"linear"
"66",6,11,0.317485844889619,0.000619359920635582,0.0250367077131867,0.0844114653038718,0.0320074721399084,0.8,NA,1,"linear"
"67",7,1,0.282100010836686,0.000117084803107133,0.0790989562208615,0.389648006364078,0.0797989689042505,0,1,NA,"linear"
"68",7,2,-0.00471958724299857,0.000111631231139908,0.00985914097530876,Inf,0.0113280260119399,0.9,NA,0.1,"linear"
"69",7,3,0.00446524116209006,8.61746738620583e-05,0.00779842366947259,Inf,0.0100898126248498,0.85,NA,0.15,"linear"
"70",7,4,-0.00498114306835202,9.80017239800115e-05,0.00891128229259397,Inf,0.0108587947788142,0.9,NA,0.1,"linear"
"71",7,5,0.155673493569236,0.000114750778275985,0.0138344250833928,0.0965147478153765,0.016159455863039,0.65,1,NA,"linear"
"72",7,6,0.000438008624232333,7.18053714553499e-05,0.00687477288020277,Inf,0.00827084968050346,0.95,NA,0.05,"linear"
"73",7,7,-0.00335361968134673,5.27387724642948e-05,0.00655254195507731,Inf,0.00783253463498223,0.95,NA,0.05,"linear"
"74",7,8,0.00608698638940552,7.49544932832998e-05,0.0087301235032478,Inf,0.0104047187335335,0.95,NA,0.05,"linear"
"75",7,9,0.00280492876493561,0.000113005374674918,0.00856149737188976,Inf,0.0107341851725008,0.9,NA,0.1,"linear"
"76",7,10,0.000473451654675916,0.000100410038275557,0.00815138494268188,Inf,0.00977822544386732,1,NA,0,"linear"
"77",7,11,0.438987771008564,0.000838336364723992,0.0926522077766431,0.267521495372969,0.0968547941630874,0.05,NA,1,"linear"
"78",8,1,0.104212016411692,6.22058678563315e-05,0.0211222394756178,0.168527265958392,0.0224776461162832,0.4,1,NA,"linear"
"79",8,2,-0.00201166852374586,4.06263241273339e-05,0.00487710415957396,Inf,0.00653007030363357,1,NA,0,"linear"
"80",8,3,0.000286599788069375,0.000179738273647309,0.0110940364206628,Inf,0.0130703289707438,0.85,NA,0.15,"linear"
"81",8,4,0.00134022254205801,0.000115969060608555,0.00709402273906257,Inf,0.0105814367663549,0.95,NA,0.05,"linear"
"82",8,5,0.179985207983482,7.97003861923763e-05,0.022598646287521,0.143586885970461,0.0242159901906001,0.35,1,NA,"linear"
"83",8,6,0.000627210173323744,0.000153907915389159,0.00897624337517291,Inf,0.0121080928399654,0.8,NA,0.2,"linear"
"84",8,7,0.00226459568796804,3.98160184369451e-05,0.00534177303347383,Inf,0.0065539004527885,1,NA,0,"linear"
"85",8,8,0.00145732697487164,0.000109348253127154,0.0091999813213363,Inf,0.0102958555925423,1,NA,0,"linear"
"86",8,9,-0.000150429583364731,7.27351557238379e-05,0.00662970326450496,Inf,0.0083139056403833,0.95,NA,0.05,"linear"
"87",8,10,0.000229628424251049,8.82559270297965e-05,0.00668511234511711,Inf,0.00915946831926017,0.9,NA,0.1,"linear"
"88",8,11,0.288240709878605,0.000403692441314938,0.0164967718433007,0.0583534504474207,0.0203509105972136,1,NA,1,"linear"
"89",9,1,0.284025031825327,0.000105872524895002,0.0810239772095022,0.399130819112435,0.0816422916232524,0,1,NA,"linear"
"90",9,2,-0.00373747143299039,0.000193263479149073,0.0110170975477071,Inf,0.0140559239434496,0.75,NA,0.25,"linear"
"91",9,3,-0.0029357414042277,0.000238214688815791,0.0132508329275902,Inf,0.0153271827798685,0.95,NA,0.05,"linear"
"92",9,4,0.00356481920981235,0.000200049765447539,0.0108997957317479,Inf,0.0142392139240131,0.9,NA,0.1,"linear"
"93",9,5,0.153008883517201,0.000137427865191986,0.0128098095686316,0.0893666005364839,0.0149680845029073,0.9,1,NA,"linear"
"94",9,6,-0.00356951531039011,0.000258884597283084,0.013426393712015,Inf,0.016083588124857,0.95,NA,0.05,"linear"
"95",9,7,-0.00549685184408673,0.000360101409364322,0.0153693602518973,Inf,0.0192953807708463,0.75,NA,0.25,"linear"
"96",9,8,0.00400316114008086,0.000186835221835937,0.012057463713799,Inf,0.0139111020360572,0.95,NA,0.05,"linear"
"97",9,9,0.00544596672770266,0.00044444983436503,0.0167419863031757,Inf,0.0212576079615281,0.8,NA,0.2,"linear"
"98",9,10,-0.00087266203764691,0.000191988619010687,0.0115238717129926,Inf,0.0135333191454315,0.95,NA,0.05,"linear"
"99",9,11,0.433435620390782,0.000104951397597212,0.0871000571588606,0.251490364853276,0.0876705411457814,0,NA,1,"linear"
"100",10,1,0.104300708041023,0.000176798150451491,0.0220859884525847,0.176216695876366,0.0247056345381161,0.4,1,NA,"linear"
"101",10,2,-0.0024828729991702,8.99226381349632e-05,0.00801974435289998,Inf,0.00957032729629575,1,NA,0,"linear"
"102",10,3,0.00287999670496468,0.000226757644112115,0.0114992172209934,Inf,0.0149570766838683,0.85,NA,0.15,"linear"
"103",10,4,0.000588629111887506,0.00023443952082933,0.0116374641459194,Inf,0.0149353282193337,0.85,NA,0.15,"linear"
"104",10,5,0.185793629674948,0.000123813267459135,0.0284070679789866,0.180492334751319,0.0304069747796281,0.45,1,NA,"linear"
"105",10,6,-0.00655665249697537,0.000142480099953326,0.0113963333570913,Inf,0.0133546166894356,1,NA,0,"linear"
"106",10,7,-0.000915104765404351,0.000147877937272484,0.00935810255542888,Inf,0.0118878701683912,0.95,NA,0.05,"linear"
"107",10,8,-0.00446581739556231,0.000317842728673622,0.0157737829846574,Inf,0.0179414078948796,0.95,NA,0.05,"linear"
"108",10,9,0.00182321698246135,0.000220843188728613,0.0120082727661021,Inf,0.0145988064394771,0.85,NA,0.15,"linear"
"109",10,10,0.00568102607650707,0.000154876040117771,0.0112684119390335,Inf,0.0133942635256231,0.9,NA,0.1,"linear"
"110",10,11,0.286646758934679,0.00017802671402804,0.0109235406556292,0.0386394559137644,0.0135892713436678,0.9,NA,1,"linear"
