"","scenario","metal","mean_point_estimate","variance_point_estimate","bias","relative_bias","RMSE","coverage","TPR","FDR","model_type"
"1",1,1,0.0663345226212487,0.000100867480046538,0.0162701678759241,0.201063137284119,0.0175664565432081,0.6,1,NA,"linear"
"2",1,2,-0.000613061611695764,8.33537164093685e-05,0.00779857060095857,Inf,0.00891974636010661,1,NA,0,"linear"
"3",1,3,-0.00101870221502959,9.72013097113421e-05,0.00754644662207017,Inf,0.00966328093499724,0.95,NA,0.05,"linear"
"4",1,4,-0.00120643481996376,0.000101498291765767,0.00776713768919797,Inf,0.00989337465945262,0.95,NA,0.05,"linear"
"5",1,5,0.0674574255209194,8.60901325365338e-05,0.0071603590185486,0.106266907847168,0.00904386440199194,0.9,1,NA,"linear"
"6",1,6,0.00253360289891036,5.26383275303746e-05,0.00597498831440055,Inf,0.00751169453606993,1,NA,0,"linear"
"7",1,7,0.00231568925092377,6.7354811334523e-05,0.00718933331083308,Inf,0.00832763396617795,1,NA,0,"linear"
"8",1,8,0.00134228292971773,9.46674929887233e-05,0.00694039718185128,Inf,0.00957788294993725,0.9,NA,0.1,"linear"
"9",1,9,-0.00144540867503272,6.21568468493518e-05,0.00679613545880432,Inf,0.0078190927059822,1,NA,0,"linear"
"10",1,10,0.000419391489432086,9.60601465114519e-05,0.00820013361833996,Inf,0.00956206193283056,1,NA,0,"linear"
"11",1,11,0.13611930738943,0.000218597148761842,0.0151141944374924,0.101915260901848,0.0188699525645849,0.95,NA,1,"linear"
"12",2,1,0.133988857497046,4.20603012134403e-05,0.0690121971187785,0.339959796018709,0.0693010868407841,0,1,NA,"linear"
"13",2,2,0.00116920351154188,8.93129676162846e-05,0.00796311597076167,Inf,0.00928516860842452,1,NA,0,"linear"
"14",2,3,0.000580686322411794,0.000114585504329373,0.0077790248446463,Inf,0.010449565814805,0.9,NA,0.1,"linear"
"15",2,4,0.00178664406573694,0.000162181073630783,0.0103998363300136,Inf,0.0125404990716828,0.9,NA,0.1,"linear"
"16",2,5,0.134220790697942,8.91085012848399e-05,0.0107566322024781,0.0750427746803286,0.0129542760639982,0.75,1,NA,"linear"
"17",2,6,0.00246436381729815,7.41070515536707e-05,0.00710945218914902,Inf,0.0087449864493889,0.95,NA,0.05,"linear"
"18",2,7,-0.00167628983689281,8.41295686295116e-05,0.00729919972169864,Inf,0.00909577032555825,1,NA,0,"linear"
"19",2,8,-0.000276921492681848,5.86984038600485e-05,0.00607998753889464,Inf,0.00747262799690679,1,NA,0,"linear"
"20",2,9,-0.00295218783719955,8.26201377024485e-05,0.00769511814144352,Inf,0.00933833731685866,0.95,NA,0.05,"linear"
"21",2,10,-0.00078374166862285,0.000100555497517815,0.0078145807442243,Inf,0.00980520135668104,0.9,NA,0.1,"linear"
"22",2,11,0.26852140507658,0.000423368028744618,0.0778141581553411,0.224678509562223,0.0803569713013863,0.05,NA,1,"linear"
"23",3,1,0.134948273962916,0.000348791454087126,0.0680527806529087,0.33523363108481,0.0704452470786758,0,1,NA,"linear"
"24",3,2,-0.00680725378006403,0.000358164242558529,0.0132079375974449,Inf,0.0196620124721962,0.9,NA,0.1,"linear"
"25",3,3,-0.00322970965427373,0.000227850192371389,0.0125898966149134,Inf,0.0150628253393488,0.9,NA,0.1,"linear"
"26",3,4,0.000353392092623217,0.000154060056517196,0.0097102949744003,Inf,0.0121029723482484,0.95,NA,0.05,"linear"
"27",3,5,0.145499475366917,0.000179593948414013,0.0117644792980742,0.0820739384389647,0.0132392422071088,1,1,NA,"linear"
"28",3,6,-0.00476975899798249,0.000186534186621657,0.0113091366752802,Inf,0.0141406533862269,0.95,NA,0.05,"linear"
"29",3,7,-0.00243949526955576,0.00022696439953819,0.0133266898027368,Inf,0.0148851374441577,1,NA,0,"linear"
"30",3,8,0.0012581042910906,0.000295871499605537,0.0147725312454624,Inf,0.0168125176886902,0.95,NA,0.05,"linear"
"31",3,9,-0.00216038606642983,0.000340125363030785,0.0137805383998967,Inf,0.0181048712460285,0.75,NA,0.25,"linear"
"32",3,10,0.00213163002116077,0.000238606190878599,0.0122595546194073,Inf,0.0152059109520536,0.9,NA,0.1,"linear"
"33",3,11,0.264784271966402,8.08186106702655e-05,0.0815512912655195,0.235469007295994,0.0820206729258566,0,NA,1,"linear"
"34",4,1,0.129608939640439,0.000101918475260198,0.00753325577573911,0.0601053217446985,0.0107282558082132,0.85,1,NA,"linear"
"35",4,2,-0.00131363007683822,0.000102940922416792,0.00744170868653164,Inf,0.00997594608419305,0.9,NA,0.1,"linear"
"36",4,3,0.000974649731381461,0.00013761698253036,0.00956005818873471,Inf,0.0114754553505612,0.85,NA,0.15,"linear"
"37",4,4,-0.000452954220432944,7.64221494712716e-05,0.00728553867779482,Inf,0.00853265547901215,1,NA,0,"linear"
"38",4,5,0.13025506687433,0.000105842698322395,0.0271314948216316,0.172387620196215,0.0289252238480966,0.25,1,NA,"linear"
