"","scenario","metal","mean_point_estimate","variance_point_estimate","bias","relative_bias","RMSE","coverage","TPR","FDR","model_type"
"1",1,1,0.0678706632416849,8.63178414629555e-05,0.0133785676438046,0.165329380947053,0.0158841165099395,0.55,1,NA,"linear"
"2",1,2,-0.0017530067322666,0.000133669958571137,0.00946345919931294,Inf,0.0114043629039922,0.9,NA,0.1,"linear"
"3",1,3,-0.00117520442523835,8.77411133908796e-05,0.00747024260841358,Inf,0.00920517045808688,0.95,NA,0.05,"linear"
"4",1,4,-0.00256844577431742,8.92860627021983e-05,0.00762144935734389,Inf,0.00956131127318306,0.9,NA,0.1,"linear"
"5",1,5,0.0655251506453007,5.84902875504586e-05,0.0058230608060497,0.0864200614050176,0.00768176726870092,0.95,1,NA,"linear"
"6",1,6,0.00102827333293529,0.000143014208659068,0.00968654337250456,Inf,0.0117013180570968,0.85,NA,0.15,"linear"
"7",1,7,-0.00112376009083487,0.000122670271357057,0.00912689003827111,Inf,0.0108535521618942,0.9,NA,0.1,"linear"
"8",1,8,0.00216027868956539,8.13578324974786e-05,0.00808088662967765,Inf,0.00905299645913965,1,NA,0,"linear"
"9",1,9,0.00250041839450704,8.9171743826151e-05,0.00849163610867126,Inf,0.00953757038151922,0.9,NA,0.1,"linear"
"10",1,10,-0.000732555963797032,8.6800671862751e-05,0.00776470724780375,Inf,0.00911028410696988,0.95,NA,0.05,"linear"
"11",1,11,0.131731811317539,0.000454443507900153,0.0227124732887007,0.153150579775671,0.0265759033358036,0.85,NA,1,"linear"
"12",2,1,0.13878265168075,0.000121208600615305,0.0642184029350751,0.316345169026866,0.0651087662770245,0,1,NA,"linear"
"13",2,2,0.0023312312086309,8.61685125048653e-05,0.00667232411225593,Inf,0.0093431646580651,0.85,NA,0.15,"linear"
"14",2,3,0.000830478178579352,0.000162722876616748,0.0104400625897655,Inf,0.0124609962198456,0.85,NA,0.15,"linear"
"15",2,4,-0.00500928289532432,0.000118138369751484,0.00888062621069303,Inf,0.0117185479642018,0.85,NA,0.15,"linear"
"16",2,5,0.137721782400481,7.99012788963049e-05,0.00803489378380268,0.0560547867072529,0.0103668083653012,0.9,1,NA,"linear"
"17",2,6,-0.00173361251862394,4.9017598044245e-05,0.00589521472695669,Inf,0.00704074786558661,1,NA,0,"linear"
"18",2,7,0.000283173353492838,4.4930448649191e-05,0.00535777772171406,Inf,0.00653942760223399,1,NA,0,"linear"
"19",2,8,-0.00170252991753306,0.000114572682611131,0.00797088890865525,Inf,0.0105708399193569,0.95,NA,0.05,"linear"
"20",2,9,0.00200357375902709,7.11757315969562e-05,0.00670659261506767,Inf,0.00846352484636102,0.95,NA,0.05,"linear"
