"","scenario","metal","mean_point_estimate","variance_point_estimate","bias","relative_bias","RMSE","coverage","TPR","FDR","model_type"
"1",1,1,0.0700422696911003,5.24575945202532e-05,0.0112687314567719,0.139256491831503,0.0129682208165238,0.85,1,NA,"linear"
"2",1,2,-0.000595244374635018,8.72134402314111e-05,0.00705315273775712,Inf,0.00912179171464549,0.95,NA,0.05,"linear"
"3",1,3,0.00125517660230198,0.000137685700552525,0.00962456664636852,Inf,0.0115055153655916,0.9,NA,0.1,"linear"
"4",1,4,-0.00250044495329118,9.33924160426917e-05,0.0074399166669411,Inf,0.00974551282411533,0.95,NA,0.05,"linear"
"5",1,5,0.0633403167155579,0.000107808664586333,0.00806300075358591,0.119663016314319,0.010896994002582,0.9,1,NA,"linear"
"6",1,6,-0.00286948522159254,0.000124026500233797,0.00784697820312647,Inf,0.0112276052949436,0.9,NA,0.1,"linear"
"7",1,7,0.000276131452058692,0.000139148627246597,0.00902326698200184,Inf,0.0115007584299073,0.9,NA,0.1,"linear"
"8",1,8,0.00398472250699447,0.000141953672303378,0.00907722999651279,Inf,0.0122773776575439,0.9,NA,0.1,"linear"
"9",1,9,-0.00133481280945903,9.01433607204847e-05,0.00769014821904589,Inf,0.00934975496581361,1,NA,0,"linear"
"10",1,10,0.00150316539644689,9.26305581646821e-05,0.00708635421115981,Inf,0.00950044927703545,0.85,NA,0.15,"linear"
"11",1,11,0.133101795005483,0.000300949879484191,0.0193931593172898,0.130768391243523,0.0227362247284643,0.9,NA,1,"linear"
"12",2,1,0.133358506425242,5.40373700984527e-05,0.0696425481905822,0.343064957580537,0.0700101422657539,0,1,NA,"linear"
"13",2,2,0.00132833148589391,0.000106319782216445,0.00885469539083725,Inf,0.0101374680094213,0.95,NA,0.05,"linear"
"14",2,3,-0.00227765770035866,0.000124873529577346,0.00900462865613805,Inf,0.0111273347077583,0.9,NA,0.1,"linear"
"15",2,4,-0.000656186112028645,0.000112555623564658,0.00808679032311679,Inf,0.0103613909587489,0.85,NA,0.15,"linear"
"16",2,5,0.137200007879427,0.00013888044073684,0.0110064566166006,0.0767856545023536,0.0130244410978394,0.8,1,NA,"linear"
"17",2,6,0.0023838517567679,0.00010988601344783,0.00854295879763796,Inf,0.0104916377164714,0.9,NA,0.1,"linear"
"18",2,7,0.00211693139772909,9.65857311302356e-05,0.00786897740532934,Inf,0.00981008884345168,0.95,NA,0.05,"linear"
"19",2,8,-0.00264845627040724,9.96596701918277e-05,0.00848901820137071,Inf,0.0100841959173003,0.95,NA,0.05,"linear"
"20",2,9,0.000867823258550837,7.68989567769031e-05,0.00712678012487258,Inf,0.00859110738765031,0.95,NA,0.05,"linear"
"21",2,10,-0.000985917832514671,8.61615585714275e-05,0.00644701164567856,Inf,0.0091008524114682,0.9,NA,0.1,"linear"
"22",2,11,0.270687234288302,0.000368937142298877,0.075648328943619,0.21842495248737,0.077930481566239,0.05,NA,1,"linear"
"23",3,1,0.13904113944541,0.000131260486640427,0.0639599151704149,0.315071836899851,0.0649274072400483,0,1,NA,"linear"
"24",3,2,-0.00391263798130619,0.000393119096795407,0.0173267086396095,Inf,0.0197172989511342,0.8,NA,0.2,"linear"
"25",3,3,0.00348335990135562,0.0002851016169236,0.0134472863024689,Inf,0.0168220192687974,0.8,NA,0.2,"linear"
"26",3,4,0.00151816091576902,0.000229828645226746,0.0120910625907283,Inf,0.0148540238834996,0.9,NA,0.1,"linear"
