"","scenario","metal","mean_point_estimate","variance_point_estimate","bias","relative_bias","RMSE","coverage","TPR","FDR","model_type"
"1",1,1,0.069188020084367,0.000120274840803769,0.0125878935779847,0.155558405659318,0.0158718823921637,0.6,1,NA,"linear"
"2",1,2,0.0021330692663414,9.39904909650781e-05,0.00772864267465287,Inf,0.00968715391184813,0.95,NA,0.05,"linear"
"3",1,3,-0.00117454103233232,8.15201790282889e-05,0.0064364453875859,Inf,0.00887827216937545,0.95,NA,0.05,"linear"
"4",1,4,0.000807938431485067,0.000138365233499873,0.00982800124221005,Inf,0.011493464940302,0.9,NA,0.1,"linear"
"5",1,5,0.0662762254099403,0.000136029423979116,0.00984214896248859,0.146067359765835,0.0114213939863854,0.85,1,NA,"linear"
"6",1,6,0.0034912369632742,5.89173895217916e-05,0.00605057071462451,Inf,0.00825592245478566,1,NA,0,"linear"
"7",1,7,-0.00489479078268192,9.00048987795733e-05,0.00919497395689873,Inf,0.0104624868289916,1,NA,0,"linear"
"8",1,8,-0.000729236271118849,0.000104733615464698,0.00809782406146833,Inf,0.0100014359084373,0.95,NA,0.05,"linear"
"9",1,9,0.000911085686185198,8.17229487418639e-05,0.00783229916119416,Inf,0.00885815321793105,1,NA,0,"linear"
"10",1,10,-0.00117155731303672,8.48383648217056e-05,0.00772625339875604,Inf,0.00905367290762982,0.95,NA,0.05,"linear"
"11",1,11,0.134837450442423,0.000500289202030169,0.0209160332758967,0.1410371553152,0.0256233796503231,0.85,NA,1,"linear"
"12",2,1,0.139874377686276,7.37970932600661e-05,0.0631266769295487,0.310967236347686,0.0636795459999887,0,1,NA,"linear"
"13",2,2,0.00121419854062313,0.000117883596906473,0.0078762087814423,Inf,0.0106519338693591,0.9,NA,0.1,"linear"
"14",2,3,-0.00137857442958284,6.69155304969266e-05,0.00630483328723007,Inf,0.00809136709277116,0.95,NA,0.05,"linear"
"15",2,4,-0.00203046412538836,6.83764973415624e-05,0.00629347901517772,Inf,0.00831146539660567,1,NA,0,"linear"
"16",2,5,0.129765918339423,5.99205992745746e-05,0.0139338862409054,0.0972086305374189,0.0155299897142094,0.65,1,NA,"linear"
"17",2,6,0.00210091263651585,0.000144617358161543,0.0102348765737932,Inf,0.0119079941283046,0.8,NA,0.2,"linear"
"18",2,7,0.000656123564844491,0.000156416410550983,0.0107717312593761,Inf,0.0122076241814604,0.9,NA,0.1,"linear"
"19",2,8,0.00257753357039794,0.000104792411074525,0.00906249132085197,Inf,0.0103051671421344,1,NA,0,"linear"
"20",2,9,0.00303216310738632,7.83737607399557e-05,0.00801557856187785,Inf,0.00914598741595202,1,NA,0,"linear"
"21",2,10,-0.00134989183400489,7.77401040555373e-05,0.00730536649804001,Inf,0.00869915552316853,0.95,NA,0.05,"linear"
"22",2,11,0.274462297056491,0.00108005300950828,0.0718732661754307,0.207524937678148,0.0786880978913404,0.15,NA,1,"linear"
"23",3,1,0.140024641660396,0.000272614040112942,0.0629764129554286,0.310227023571922,0.0650000917448581,0,1,NA,"linear"
"24",3,2,0.00319596535864443,0.000198812226505052,0.0119191604681407,Inf,0.0141097770979365,0.95,NA,0.05,"linear"
"25",3,3,-0.000817176940224296,0.000210583837641879,0.0121958577369069,Inf,0.0141676541428502,1,NA,0,"linear"
"26",3,4,-0.00586904761678528,0.000259863839345339,0.0125511258231282,Inf,0.0167724884053072,0.85,NA,0.15,"linear"
"27",3,5,0.132979101943382,0.000319670552301115,0.0150268564842816,0.104833649052702,0.0202740098689848,0.9,1,NA,"linear"
"28",3,6,-0.00234180955582061,0.000224358478065625,0.0122982482951017,Inf,0.0147859604408397,1,NA,0,"linear"
"29",3,7,-0.00366015088487043,0.000127240548871993,0.00950694237968807,Inf,0.0115877187542851,1,NA,0,"linear"
"30",3,8,0.00310367378890837,0.000166777885192165,0.00933667135752525,Inf,0.0129642501487943,0.95,NA,0.05,"linear"
"31",3,9,-0.0039867537918827,0.000251159398372684,0.012958082228664,Inf,0.0159529193018438,0.95,NA,0.05,"linear"
"32",3,10,0.00265947240827328,0.000350632644916172,0.0147116787942321,Inf,0.0184438012936794,0.85,NA,0.15,"linear"
"33",3,11,0.265287916370021,0.000163305100397436,0.0810476468619004,0.234014797976803,0.0819991518689606,0,NA,1,"linear"
"34",4,1,0.134264926262702,0.000104415797613467,0.0117450208214447,0.0937095827337488,0.0133772897511681,0.85,1,NA,"linear"
"35",4,2,0.00197384455954035,8.73396355145784e-05,0.00820817134487606,Inf,0.0093203388395528,1,NA,0,"linear"
"36",4,3,-0.00209497570065975,9.59466448076961e-05,0.00789278003996008,Inf,0.00977436625841625,0.9,NA,0.1,"linear"
"37",4,4,0.00094319239646643,9.63534331594043e-05,0.00805765979372695,Inf,0.00961381159572966,0.95,NA,0.05,"linear"
"38",4,5,0.133229079236086,0.000118149018645465,0.0241574824598753,0.153491392146571,0.0263785050090481,0.35,1,NA,"linear"
"39",4,6,-0.00460169529393815,0.00015186347502066,0.0102058470884967,Inf,0.0128625775351552,0.8,NA,0.2,"linear"
"40",4,7,-0.00271340046883395,0.000105398236232241,0.0081394194482127,Inf,0.0103677802120269,0.9,NA,0.1,"linear"
"41",4,8,-0.000313542288127633,0.00010613258731553,0.00792973627672342,Inf,0.0100461070428399,0.9,NA,0.1,"linear"
"42",4,9,0.00454049916637855,3.74811101014753e-05,0.00602549116692008,Inf,0.00749821227202097,1,NA,0,"linear"
