"","scenario","metal","mean_point_estimate","variance_point_estimate","bias","relative_bias","RMSE","coverage","TPR","FDR","model_type"
"1",1,1,0.0691767280993225,8.60458832742351e-05,0.0133012944056427,0.164374455354925,0.0148210741446503,0.7,1,NA,"linear"
"2",1,2,0.000212780403882751,7.07332566530207e-05,0.00662031732499446,Inf,0.00820011398217404,1,NA,0,"linear"
"3",1,3,0.00199069934621412,0.000100888096576158,0.00818351872046821,Inf,0.00999032410056687,0.9,NA,0.1,"linear"
"4",1,4,0.00105582063314459,4.9580036312173e-05,0.00540874779633757,Inf,0.00694375919124059,0.95,NA,0.05,"linear"
"5",1,5,0.0662105757595942,7.32806828828133e-05,0.00682713854553025,0.10132158189252,0.0084253360971888,0.95,1,NA,"linear"
"6",1,6,-0.00420721030331773,9.89584947309047e-05,0.00843762313552326,Inf,0.01056935137701,0.95,NA,0.05,"linear"
"7",1,7,-0.000882596507320921,4.61738133606296e-05,0.00542432089120026,Inf,0.00668162400074512,0.95,NA,0.05,"linear"
"8",1,8,0.00153660538229187,0.000106861861979508,0.00762951966317845,Inf,0.0101921501647798,0.9,NA,0.1,"linear"
"9",1,9,0.000868468773937203,0.000102121328118605,0.00834565397479665,Inf,0.00988784606089611,0.95,NA,0.05,"linear"
"10",1,10,-0.00240112676294755,0.000144381851849586,0.00908176067464721,Inf,0.0119552569603856,0.9,NA,0.1,"linear"
"11",1,11,0.133560744824801,0.000642429791772275,0.0245455652951,0.165511149229895,0.0287680480286999,0.8,NA,1,"linear"
"12",2,1,0.132783043894297,0.000135768271791004,0.0702180107215276,0.345899733646279,0.0711305060286374,0,1,NA,"linear"
"13",2,2,0.00129236831152071,9.0786302280037e-05,0.00792553640029376,Inf,0.00937641738718249,0.95,NA,0.05,"linear"
"14",2,3,-0.00108124851093327,0.00012448388946919,0.00832031036396597,Inf,0.0109283481523113,0.9,NA,0.1,"linear"
"15",2,4,-0.000376519350230353,8.96439162523786e-05,0.00725567707688941,Inf,0.00923598869969304,1,NA,0,"linear"
"16",2,5,0.13533164213157,9.97730366996059e-05,0.0106046268515168,0.0739823216418986,0.01260628289359,0.8,1,NA,"linear"
"17",2,6,0.00162474535461292,0.000106209299606616,0.00764695429082349,Inf,0.0101753934613666,0.95,NA,0.05,"linear"
"18",2,7,0.00456993597396846,8.61269130275563e-05,0.00884444486990774,Inf,0.0101343417241748,0.95,NA,0.05,"linear"
"19",2,8,0.00108320104759965,8.28332518678802e-05,0.00698138346885793,Inf,0.00893671717041594,0.95,NA,0.05,"linear"
"20",2,9,-0.00103973354377445,5.70204316657608e-05,0.00572659839573983,Inf,0.00743306504239822,0.95,NA,0.05,"linear"
"21",2,10,-0.00501522185319901,8.55011068006513e-05,0.00861881572520004,Inf,0.0103139954284178,0.95,NA,0.05,"linear"
"22",2,11,0.269172213455432,0.000211210022992221,0.0771633497764896,0.222799382934919,0.0784527378143777,0,NA,1,"linear"
"23",3,1,0.128861687688951,0.000236425236300008,0.0741393669268738,0.365216658934019,0.0756389430307077,0,1,NA,"linear"
"24",3,2,-0.00567330449635755,0.000255317106864403,0.0128395122502114,Inf,0.0165752114746562,0.9,NA,0.1,"linear"
"25",3,3,-0.0016508116331137,0.000337347230705526,0.0155926433010023,Inf,0.0179779044445751,0.9,NA,0.1,"linear"
"26",3,4,0.00715501567276589,0.000215388246258617,0.0133200667388987,Inf,0.0159941577841164,0.9,NA,0.1,"linear"
"27",3,5,0.129683005610059,0.000503233528635538,0.0222163978017036,0.154990902641229,0.02577955911569,0.65,1,NA,"linear"
"28",3,6,0.00414519399158088,0.000302298082987417,0.0150050681262547,Inf,0.017446083000659,0.85,NA,0.15,"linear"
