"","scenario","metal","mean_point_estimate","variance_point_estimate","bias","relative_bias","RMSE","coverage","TPR","FDR","model_type"
"1",1,1,0.0650818605746819,0.000115175572595563,0.0162577378021393,0.20090952918057,0.0189811833952224,0.55,1,NA,"linear"
"2",1,2,-0.00289300170896004,9.19120915746466e-05,0.00802448588773675,Inf,0.00978191933538403,0.95,NA,0.05,"linear"
"3",1,3,0.00176686889438903,3.08403041512377e-05,0.00470459631125754,Inf,0.00569386640461781,1,NA,0,"linear"
"4",1,4,0.00144245416273924,0.000137631292077989,0.0091125303330173,Inf,0.0115252072209437,0.95,NA,0.05,"linear"
"5",1,5,0.0734211260489206,7.85626514759725e-05,0.00791519903032232,0.117469490533696,0.010541297301575,0.85,1,NA,"linear"
"6",1,6,-0.00146457977696401,8.77962909284626e-05,0.00808355825401958,Inf,0.0092494037810624,1,NA,0,"linear"
"7",1,7,-0.00118830808109879,7.49767652587584e-05,0.00669160420697356,Inf,0.00852291048242472,0.95,NA,0.05,"linear"
"8",1,8,0.00191727347476447,6.07059381751371e-05,0.00632258873964571,Inf,0.00783240568685099,0.95,NA,0.05,"linear"
"9",1,9,-0.00276583212217923,0.00013240931839685,0.00890625677011306,Inf,0.0115515661191497,0.85,NA,0.15,"linear"
"10",1,10,-0.00250944759890156,6.66335431310749e-05,0.00599327670604833,Inf,0.00834261309339909,0.9,NA,0.1,"linear"
"11",1,11,0.132808413867392,0.000457327464363044,0.0220800498494803,0.148886138155897,0.0259711254037194,0.9,NA,1,"linear"
"12",2,1,0.136184906610194,8.12910760932053e-05,0.066816148005631,0.329141876292609,0.0673915733352393,0,1,NA,"linear"
"13",2,2,0.0019947109128047,5.06581426841613e-05,0.00556502499247105,Inf,0.00721831747539656,1,NA,0,"linear"
"14",2,3,0.00192354673846198,0.000108221169501001,0.00864787901206301,Inf,0.0103203751424548,0.9,NA,0.1,"linear"
"15",2,4,-0.00427654240529685,6.52226495705593e-05,0.0065958950437063,Inf,0.00895825496602622,0.95,NA,0.05,"linear"
