"","scenario","dataset","metal","point_estimate","variance","CI_lower","CI_upper","model_type"
"1",1,106,1,0.0578609499757512,0.000138936120397064,0.036083207811963,0.0823931418735331,"elastic net"
"2",1,106,2,1.94093557950303e-05,7.1309452374083e-05,-0.014955496524836,0.0138343054707703,"elastic net"
"3",1,106,3,0.0136462932194514,9.30739775698333e-05,-0.00494365085636973,0.0301110068448053,"elastic net"
"4",1,106,4,-0.00668408338827486,0.000101788530171748,-0.0248320292816555,0.012961723018336,"elastic net"
"5",1,106,5,0.0722554054673346,0.000111589860286446,0.0516754982651811,0.0877632385770498,"elastic net"
"6",1,106,6,-0.00588158261233707,7.83447159136947e-05,-0.0194637169531333,0.0127049905466024,"elastic net"
"7",1,106,7,0.00820912311549815,9.51629279529738e-05,-0.0113489549571244,0.0261788744829807,"elastic net"
"8",1,106,8,0.0120640863658465,8.34504336552599e-05,-0.00405491284835261,0.029945666940629,"elastic net"
"9",1,106,9,0.000649613616998224,8.21071612645475e-05,-0.0179481137151034,0.0158197763046761,"elastic net"
"10",1,106,10,-0.000804498932129416,0.000106626115853375,-0.0207086032358718,0.0190592009804662,"elastic net"
"11",1,106,11,0.151334716183934,0.000449971798134433,0.11270417435589,0.202556049495266,"elastic net"
"12",1,107,1,0.065848626359915,0.000111919326065866,0.0464347846577943,0.086415102702359,"elastic net"
"13",1,107,2,-0.0117483544519787,9.62850790524917e-05,-0.0322445361798759,0.00551584257565402,"elastic net"
"14",1,107,3,0.0077344164010249,8.96752662531394e-05,-0.0115553004272982,0.0255670827135278,"elastic net"
"15",1,107,4,-0.0181503931360192,8.2636438705257e-05,-0.0389458598620114,-0.00392212057789989,"elastic net"
"16",1,107,5,0.0792031760256759,9.65930250605016e-05,0.0613616117817147,0.0976116233655672,"elastic net"
"17",1,107,6,0.016179366493482,0.000112861009447461,-0.00266472649280914,0.036111852976864,"elastic net"
"18",1,107,7,0.000572582308794534,0.000117695476251686,-0.0208954317501675,0.0221112747336919,"elastic net"
"19",1,107,8,0.00312047565528895,9.90057023419298e-05,-0.0133451826862306,0.0270374902362325,"elastic net"
"20",1,107,9,0.00181798801208988,7.0371062136351e-05,-0.0129458922324706,0.0179107583243405,"elastic net"
"21",1,107,10,0,8.62669507021284e-05,-0.0157869813332744,0.0171164002924305,"elastic net"
"22",1,107,11,0.144577883668274,0.0005448234655063,0.106458198090467,0.18165168193455,"elastic net"
"23",1,108,1,0.0629019248160629,9.36937599461545e-05,0.0465493726328034,0.0839295813198951,"elastic net"
"24",1,108,2,0.00594412806009625,7.51122584316678e-05,-0.00904594325462362,0.0226207363783769,"elastic net"
"25",1,108,3,-0.00568664636929284,7.99830436525528e-05,-0.0212483827382252,0.0150690620080952,"elastic net"
"26",1,108,4,-0.00727227937815011,8.92499324173064e-05,-0.0234354555365854,0.0136590958791539,"elastic net"
"27",1,108,5,0.0619652455992805,0.000117933629879314,0.0372294980869721,0.0786863346499465,"elastic net"
"28",1,108,6,0.00819138289400634,9.88786303717538e-05,-0.00622937809299779,0.0298645882469724,"elastic net"
"29",1,108,7,0.011699065212053,8.67838690524891e-05,-0.00576070611574574,0.0268115870766364,"elastic net"
"30",1,108,8,-0.00685448589328974,8.64755416568597e-05,-0.0228418141533313,0.00974282703835576,"elastic net"
"31",1,108,9,-0.00398275524375835,0.000111800369605462,-0.0280438958764878,0.0129279161588163,"elastic net"
"32",1,108,10,-0.00988722321114066,7.42964499764335e-05,-0.0235434975091088,0.00911423811031794,"elastic net"
"33",1,108,11,0.117018356485867,0.000399438812352472,0.07621645943244,0.152190029220795,"elastic net"
"34",1,109,1,0.0674015949355065,0.000100311324927732,0.0442182138572436,0.0848696481725856,"elastic net"
"35",1,109,2,0.00334260363419792,9.56353688470895e-05,-0.0154617097758662,0.0219021688565896,"elastic net"
"36",1,109,3,0.00307527255565399,7.19398365202703e-05,-0.0119657810960422,0.0176541726148097,"elastic net"
"37",1,109,4,0.00943877725216558,0.000109851317364798,-0.00639174252049038,0.0288833220550329,"elastic net"
"38",1,109,5,0.0711689815234995,0.000112842857440259,0.0530396238356719,0.0949002832423919,"elastic net"
"39",1,109,6,0.000576768503739444,6.87166580411603e-05,-0.0142980788395022,0.0165767326371773,"elastic net"
"40",1,109,7,-0.00855333258562174,8.317774082979e-05,-0.026083525463497,0.00819409431983563,"elastic net"
"41",1,109,8,-0.00078029546514502,0.0001042263942939,-0.0220226869850429,0.0182000400118207,"elastic net"
"42",1,109,9,0.0117246151491832,0.000107103998461396,-0.0102123049967304,0.0291362156574648,"elastic net"
"43",1,109,10,-0.00232901073805847,0.000108836496628792,-0.0228066293260586,0.0151143977408475,"elastic net"
"44",1,109,11,0.15506597476512,0.000446304624753592,0.114033371386715,0.193339040499396,"elastic net"
"45",1,110,1,0.0754699740244407,8.25630496210314e-05,0.0596111161715963,0.0930377203232438,"elastic net"
"46",1,110,2,0.0152765365849552,8.50329770408139e-05,-0.00461869954845881,0.0306484772065879,"elastic net"
"47",1,110,3,-0.00674212830153031,0.000102303836924222,-0.0270812138998558,0.0123043514486283,"elastic net"
"48",1,110,4,0.0111781473773687,9.66867115795054e-05,-0.00582528535952307,0.0305209240690405,"elastic net"
