"","scenario","dataset","metal","point_estimate","variance","CI_lower","CI_upper","model_type"
"1",1,351,1,0.0620462954905812,0.000102478269082788,0.0420583624100081,0.0808281181867825,"elastic net"
"2",1,351,2,0.000937778715666804,8.42799140479618e-05,-0.0178671869025037,0.0196604246854365,"elastic net"
"3",1,351,3,-0.00741377369804974,7.90582010984579e-05,-0.0223046771669067,0.00691455311077229,"elastic net"
"4",1,351,4,-0.00702498572072807,6.99628904208666e-05,-0.0211010776677093,0.00962068052461088,"elastic net"
"5",1,351,5,0.060736333916902,0.000107121564786935,0.0399100095622104,0.0799430249563783,"elastic net"
"6",1,351,6,-0.00526367682461126,7.42625093481229e-05,-0.0214774537766386,0.0106228974730544,"elastic net"
"7",1,351,7,0.0139946257744643,9.61424099214971e-05,-0.0077358437285384,0.0310819085401196,"elastic net"
"8",1,351,8,0.00183638985663381,9.74449558978671e-05,-0.0146075347192871,0.0209617920702285,"elastic net"
"9",1,351,9,-0.00147953340618079,8.96214671119158e-05,-0.0184574350182747,0.0184348716859827,"elastic net"
"10",1,351,10,-0.00716806909742473,5.69991773208432e-05,-0.0203850613154245,0.00777219428265258,"elastic net"
"11",1,351,11,0.111201385007254,0.0004286089901907,0.0763729513810706,0.155082647355664,"elastic net"
"12",1,352,1,0.0793880226723405,0.000106277334053486,0.0622902770481081,0.0989519676885594,"elastic net"
"13",1,352,2,-0.0142876123162117,9.60702167440888e-05,-0.0327416104624829,0.00011763663754175,"elastic net"
"14",1,352,3,0.01260190943063,8.9493416431598e-05,-0.00785141773747342,0.0296047763864614,"elastic net"
"15",1,352,4,-0.0188256789753793,9.70232338356421e-05,-0.0365286095475017,-0.00111057235254741,"elastic net"
"16",1,352,5,0.0912840854051666,8.70872897267469e-05,0.0728837234359612,0.106632951423566,"elastic net"
"17",1,352,6,0.00386024980657318,0.000116223982738077,-0.0153668708590833,0.0258127168575267,"elastic net"
"18",1,352,7,0.0035611112403211,9.32045130450676e-05,-0.0130810256317207,0.023458586837359,"elastic net"
"19",1,352,8,0.000489399602051632,7.91427386317822e-05,-0.0213647491038239,0.0165035055949777,"elastic net"
"20",1,352,9,-0.0146700334271717,8.54037874525603e-05,-0.0315024847520443,0.002833286342552,"elastic net"
"21",1,352,10,0.00190768599414559,9.52294573104949e-05,-0.0143918984209769,0.0230863225135646,"elastic net"
"22",1,352,11,0.145309139432465,0.000481172055362457,0.102667739853573,0.184719718561809,"elastic net"
"23",1,353,1,0.0789453995069986,6.90942369725369e-05,0.0629383767956637,0.0938405339993453,"elastic net"
"24",1,353,2,0.000711215475856619,0.000109762653911129,-0.0187686899010843,0.0222829073111882,"elastic net"
"25",1,353,3,0.00428447387574371,7.43861191174448e-05,-0.0107265911016542,0.0234309323037844,"elastic net"
"26",1,353,4,-0.0021235994650648,0.000104701788343206,-0.0231089044794373,0.0157902431964096,"elastic net"
"27",1,353,5,0.0460229917784349,7.97736591033399e-05,0.0259179210151643,0.0621414195785863,"elastic net"
"28",1,353,6,0.0159617066237761,7.61481305549988e-05,0.000400062138601398,0.0337285747265721,"elastic net"
"29",1,353,7,0,9.88959081154584e-05,-0.0236945587719923,0.0158161454384711,"elastic net"
"30",1,353,8,0.01118980147473,8.18349275115351e-05,-0.00321436607043044,0.0302296690709682,"elastic net"
"31",1,353,9,0.00222503755053238,8.19760785364991e-05,-0.0144729164264629,0.0214658839419441,"elastic net"
"32",1,353,10,-0.00966745635547306,5.455854753922e-05,-0.0242514665448774,0.0023611914960801,"elastic net"
"33",1,353,11,0.147549570465535,0.000526064681560539,0.107348560976367,0.192490633082475,"elastic net"
"34",1,354,1,0.0608152076225916,9.09376646408471e-05,0.0424955192178712,0.0787437470987171,"elastic net"
"35",1,354,2,-0.00263342831946445,8.00009825383172e-05,-0.019313596302245,0.0135038960566552,"elastic net"
"36",1,354,3,0.0048995962923517,9.01838319519094e-05,-0.015033034997017,0.0251984342685438,"elastic net"
"37",1,354,4,0.00535522951995882,0.000102032720842539,-0.0159578395713398,0.0233178791264158,"elastic net"
"38",1,354,5,0.0619832972612169,0.000115015590762636,0.0397726592158813,0.0818759434320337,"elastic net"
"39",1,354,6,-0.00452349826395948,7.70501186686212e-05,-0.022744878297782,0.014924740888063,"elastic net"
"40",1,354,7,0.00138829254174899,8.45001774007509e-05,-0.0131838998888016,0.0215028852618208,"elastic net"
"41",1,354,8,0.00542608770698827,8.3526227238249e-05,-0.0104673728988645,0.0245379860683841,"elastic net"
"42",1,354,9,-0.00630300010141327,9.23159583882455e-05,-0.0257264168160738,0.0104903572148048,"elastic net"
"43",1,354,10,-0.00194539745966327,9.21547258314214e-05,-0.0175625257035764,0.0143483356846396,"elastic net"
"44",1,354,11,0.124462386800356,0.000358722576124736,0.0919776788884122,0.161549653348077,"elastic net"
"45",1,355,1,0.0602523098624135,7.87319322066452e-05,0.0433154426474064,0.0768783103917943,"elastic net"
"46",1,355,2,0.00399097880204824,7.26278056906966e-05,-0.0127601556426223,0.0206376796247733,"elastic net"
"47",1,355,3,-0.0053070229444323,8.270202433933e-05,-0.025434135953291,0.011206582768959,"elastic net"
"48",1,355,4,-0.0182727340668396,0.000109481280191387,-0.0410932697331842,-0.000839212904249318,"elastic net"
"49",1,355,5,0.0735571014863805,0.000110368960893398,0.0545085692925442,0.0922461828753944,"elastic net"
"50",1,355,6,0.000936395067090423,7.19210016875993e-05,-0.0159478302453595,0.0184718357149721,"elastic net"
"51",1,355,7,-0.00428687026751229,7.48142146014565e-05,-0.0223512411705018,0.00826856118420445,"elastic net"
"52",1,355,8,0.0103024226857527,8.58253239064581e-05,-0.00868917367513882,0.0270091667363697,"elastic net"
"53",1,355,9,-0.0115187991768528,7.21878918470121e-05,-0.0262445442996783,0.00445893950756807,"elastic net"
"54",1,355,10,-0.00326896596411541,7.62190783849394e-05,-0.0204937594114531,0.0143103091481981,"elastic net"
"55",1,355,11,0.106384815483933,0.00034514221702517,0.0693320971165045,0.147517951491852,"elastic net"
