"","scenario","dataset","metal","point_estimate","variance","CI_lower","CI_upper","model_type"
"1",1,31,1,0.0688126562038589,8.57493707681421e-05,0.0469316021182351,0.0843328081418312,"elastic net"
"2",1,31,2,-0.0127416647479819,7.40341955113189e-05,-0.0303766776198338,0.00301296083328936,"elastic net"
"3",1,31,3,0.00403444070282921,7.06243147617056e-05,-0.00842988718772791,0.0222303317459275,"elastic net"
"4",1,31,4,0.00393074368888691,0.000110228653359672,-0.0121047431825279,0.0260675774666814,"elastic net"
"5",1,31,5,0.0667002526746281,0.000102779431812801,0.0456250029085668,0.0848229637660534,"elastic net"
"6",1,31,6,0.000982662869056128,8.99934951359144e-05,-0.0191937061569259,0.0184332262689964,"elastic net"
"7",1,31,7,0.0211255746385157,8.77660854772573e-05,0.00499962825813052,0.0380656594475565,"elastic net"
"8",1,31,8,-0.0130978484008486,8.4979491566391e-05,-0.0301312492448669,0.00369760147884917,"elastic net"
"9",1,31,9,0.00079242449316963,7.56284301338499e-05,-0.0140734657454228,0.0156726414047962,"elastic net"
"10",1,31,10,-0.00330648309883319,6.1035710502389e-05,-0.0205684901930591,0.00791553677287959,"elastic net"
"11",1,31,11,0.137232759023281,0.00041019821546905,0.101411164012575,0.175463858497125,"elastic net"
"12",1,32,1,0.0580696496936293,0.000107449421522212,0.0401289953937535,0.0775475771080383,"elastic net"
"13",1,32,2,-0.000721216698137184,7.57560677640399e-05,-0.0147403986316588,0.0183951023430639,"elastic net"
"14",1,32,3,0.0118007576805883,6.28365909975542e-05,-0.000301671926155517,0.0277261905230839,"elastic net"
"15",1,32,4,-0.0113891425799675,9.67820375922464e-05,-0.0277731251038559,0.00756720675790827,"elastic net"
"16",1,32,5,0.0654857831756077,9.42117851646349e-05,0.0479625579664965,0.0861510289870819,"elastic net"
"17",1,32,6,-0.00197005769042735,8.1164929277992e-05,-0.0196508899735672,0.0144294795210121,"elastic net"
"18",1,32,7,-0.0291838738405716,9.44894767582199e-05,-0.0468938623761255,-0.00338930388756357,"elastic net"
"19",1,32,8,0.0264342477806911,9.39216457977052e-05,0.00985084814741349,0.0428125077018988,"elastic net"
"20",1,32,9,0.00994934784256585,7.57927113742261e-05,-0.00704581446107056,0.0251064737730605,"elastic net"
"21",1,32,10,0.00459258191297818,9.29813934853024e-05,-0.0116415080464137,0.0269380728188448,"elastic net"
"22",1,32,11,0.133068077276956,0.000319677966227172,0.100837076503793,0.168775457644493,"elastic net"
"23",1,33,1,0.0844906288106468,0.000124560264382762,0.0672267944697239,0.112138876767667,"elastic net"
"24",1,33,2,0,0.000103994654976243,-0.0191904492581875,0.0213091739467277,"elastic net"
"25",1,33,3,-0.0112882354936574,9.11630779270009e-05,-0.028348685037273,0.00679725738463251,"elastic net"
"26",1,33,4,-0.00514192249883072,0.000100045410687441,-0.0237190129839879,0.0171032082773871,"elastic net"
"27",1,33,5,0.0714190769109218,9.4221646732975e-05,0.0538770084414133,0.0926412163925905,"elastic net"
"28",1,33,6,-0.00589060854638968,6.29966518440193e-05,-0.0218710214447153,0.00710133529979353,"elastic net"
"29",1,33,7,0.00068212810654833,9.8939695786671e-05,-0.0193731226337614,0.018007679246525,"elastic net"
"30",1,33,8,-0.00144198508567595,0.000102094989069163,-0.0200138097072359,0.0168743203365883,"elastic net"
"31",1,33,9,-0.00337033086616012,7.9945015880954e-05,-0.0207427976169943,0.0120092040081099,"elastic net"
"32",1,33,10,-0.00724165443918645,6.23170946167569e-05,-0.0239215356465199,0.007042682537036,"elastic net"
"33",1,33,11,0.122217096898217,0.000454832486776595,0.0863899957374478,0.160703290358284,"elastic net"
"34",1,34,1,0.0613711519591331,8.89678379355825e-05,0.0412545020543877,0.0792462222669062,"elastic net"
"35",1,34,2,-0.00233325975806897,0.000101081387695766,-0.023578912957003,0.0131169507221432,"elastic net"
"36",1,34,3,-0.0111304699429655,8.13044562662319e-05,-0.0274114498959631,0.00469195286705501,"elastic net"
"37",1,34,4,-0.00047706089869326,8.39066576429474e-05,-0.0177460434388368,0.0147717064400572,"elastic net"
"38",1,34,5,0.0714012852939745,0.000121366353339984,0.0491875708447602,0.0940025060846399,"elastic net"
"39",1,34,6,0.00317889781381631,9.35730531439704e-05,-0.0191382869680513,0.0200995557378921,"elastic net"
"40",1,34,7,-0.0047635581697052,9.15607977575158e-05,-0.0255700749421148,0.0112077483898136,"elastic net"
