"","scenario","dataset","metal","point_estimate","variance","CI_lower","CI_upper","model_type"
"1",1,206,1,0.0750407791877068,8.13035658244311e-05,0.0589713918662152,0.0954994368847279,"elastic net"
"2",1,206,2,-0.00718286274031521,9.97815999211701e-05,-0.0278441865118303,0.0101269636995027,"elastic net"
"3",1,206,3,0,8.86433955745963e-05,-0.0183683237824704,0.0167258310383487,"elastic net"
"4",1,206,4,-0.00108599413960397,9.09566137723035e-05,-0.0255878885285552,0.0133557915372055,"elastic net"
"5",1,206,5,0.0475266827549581,7.05740690693199e-05,0.0299751430167896,0.0624948709195663,"elastic net"
"6",1,206,6,0.016448218057781,0.000106825980168499,3.39322614545612e-05,0.0356168585506666,"elastic net"
"7",1,206,7,0.000748430499898811,8.82669684825802e-05,-0.0169280303605124,0.0177849563572019,"elastic net"
"8",1,206,8,-0.0107790624503983,8.79660520408368e-05,-0.0296062692310034,0.00949743018591077,"elastic net"
"9",1,206,9,-0.0144643060604321,7.33866149591392e-05,-0.0305607603334547,0.000205731515662518,"elastic net"
"10",1,206,10,0.00620019258386018,8.79844729245608e-05,-0.0109119528036583,0.0254960611375904,"elastic net"
"11",1,206,11,0.112452077693456,0.000404606330257768,0.0746182474835044,0.157821988722511,"elastic net"
"12",1,207,1,0.0789806388703806,8.89706279843421e-05,0.0621075352970714,0.0946456914667001,"elastic net"
"13",1,207,2,0.00489981265300687,8.78259570114368e-05,-0.0145377286306467,0.025121731468642,"elastic net"
"14",1,207,3,-0.00763236822247548,8.08243542910865e-05,-0.023547247778941,0.00947857192034731,"elastic net"
"15",1,207,4,0.00359346582022391,7.92498490056787e-05,-0.012924954558739,0.0216443200081381,"elastic net"
"16",1,207,5,0.0542954684947108,7.98872656681688e-05,0.0362229217249858,0.0694372723222991,"elastic net"
"17",1,207,6,0.000358037643539699,8.20811934127201e-05,-0.0156864870292737,0.0196258259630036,"elastic net"
"18",1,207,7,-0.00382363842314604,5.75808524278214e-05,-0.0175395020970303,0.0109654528450334,"elastic net"
"19",1,207,8,0.00773390782706462,8.76962429500657e-05,-0.0103308842837082,0.0265774940312109,"elastic net"
"20",1,207,9,0.00480317456820401,8.24868831389765e-05,-0.0174580903348894,0.0191188083878939,"elastic net"
"21",1,207,10,0.00142016534106371,8.50741173278707e-05,-0.0182797752713019,0.018422507629795,"elastic net"
"22",1,207,11,0.144628664572573,0.00045019647937946,0.101703647891879,0.182482378854699,"elastic net"
"23",1,208,1,0.0754930740336262,9.79283506589275e-05,0.0586462844300588,0.0991154909855265,"elastic net"
"24",1,208,2,0.00762242641949129,0.000125326884476184,-0.0123605175532314,0.0289292043268895,"elastic net"
"25",1,208,3,-0.00788952424739353,9.87694911193824e-05,-0.0261428461395899,0.0111451187387341,"elastic net"
"26",1,208,4,0.00496735491674194,7.76042501193194e-05,-0.0108642361242287,0.0233954709355302,"elastic net"
"27",1,208,5,0.0596946547168489,0.00011945246279487,0.0421902368182437,0.0798029749494049,"elastic net"
"28",1,208,6,0.0132087897145834,7.63453057391305e-05,-0.00403835757724987,0.0306480265027689,"elastic net"
"29",1,208,7,-0.0135292222707766,8.79770228894824e-05,-0.0336104378128299,0.00382617763960947,"elastic net"
"30",1,208,8,0.00165391946561488,9.48049063812657e-05,-0.0182327068756913,0.0169318306342762,"elastic net"
"31",1,208,9,-0.00062210867360557,9.36394627314962e-05,-0.0177017084970991,0.0196951071556616,"elastic net"
"32",1,208,10,-0.00498705191363102,0.000109700236276725,-0.0252099380226197,0.0140171692443335,"elastic net"
"33",1,208,11,0.135612312161499,0.000472323922536815,0.0973868956310428,0.178650495207406,"elastic net"
"34",1,209,1,0.0481813899086565,8.63468333437137e-05,0.0269421984779099,0.0641923323372747,"elastic net"
"35",1,209,2,-0.0233741602500201,9.18208014855993e-05,-0.0423901285213391,-0.00544557889743562,"elastic net"
"36",1,209,3,-0.00715833921185416,8.52979980340435e-05,-0.023250104214158,0.00961741769137315,"elastic net"
"37",1,209,4,0.00615372103905321,8.62230764358162e-05,-0.00955705388205492,0.0224201387156264,"elastic net"
"38",1,209,5,0.0610579393212369,0.000125920213416391,0.040458463343312,0.0830045649189189,"elastic net"
"39",1,209,6,0.0113468349323156,8.84277440203846e-05,-0.00662679152078974,0.0302013992292528,"elastic net"
"40",1,209,7,0,9.02445195927537e-05,-0.0196089242624507,0.0153613749063263,"elastic net"
"41",1,209,8,-0.00437284654230874,9.53015287576976e-05,-0.022582035536105,0.0165843436278093,"elastic net"
"42",1,209,9,0.0141861582291181,6.66583698474865e-05,-0.00219447319682795,0.0277139503743997,"elastic net"
"43",1,209,10,0.00610066710878376,0.000113980197773857,-0.0181435916968777,0.0242988690409313,"elastic net"
"44",1,209,11,0.112121364534981,0.000494294784295801,0.0675296211935786,0.150732513955014,"elastic net"
"45",1,210,1,0.057124534839305,7.90215735122063e-05,0.0402046736960834,0.0726925285728347,"elastic net"
"46",1,210,2,-0.00824307723908735,9.49424530267305e-05,-0.0287370410261293,0.00698384181815452,"elastic net"
"47",1,210,3,0.00648050999492922,8.45214063707173e-05,-0.0117474081653194,0.0245720076962021,"elastic net"
"48",1,210,4,0.00124296879931629,9.81447511604759e-05,-0.016028618148806,0.0197898202988403,"elastic net"
"49",1,210,5,0.0530037608957894,9.17273475773432e-05,0.0355078481678912,0.0700838595870933,"elastic net"
"50",1,210,6,0.0131875226120344,8.44947214008388e-05,-0.00486697261681187,0.028252556135334,"elastic net"
"51",1,210,7,-0.0159966298803749,0.00010302076335188,-0.0326780874865755,0.00341448014590393,"elastic net"
"52",1,210,8,0.0172525986046592,8.55875735769392e-05,0.00126926014797651,0.0344781099552902,"elastic net"
"53",1,210,9,-0.000546692690178485,8.06942933701101e-05,-0.0178587855909882,0.014284583850621,"elastic net"
"54",1,210,10,-0.00716079831560568,8.17375123575958e-05,-0.0272976496389594,0.00904947616666201,"elastic net"
"55",1,210,11,0.116344697620787,0.000347231020950977,0.0844436526413792,0.152345310638681,"elastic net"
"56",2,206,1,0.143393271224634,8.67130818394851e-05,0.125029027845556,0.160964726625421,"elastic net"
"57",2,206,2,-0.00259131143039193,8.35158901395275e-05,-0.0176513375082233,0.0153409142308285,"elastic net"
"58",2,206,3,-0.0105520358686113,7.66411109771942e-05,-0.0261952560784455,0.00544239255060438,"elastic net"
"59",2,206,4,0.00565247467966978,6.24215643249535e-05,-0.00694871255703994,0.0245943855679607,"elastic net"
