"","scenario","dataset","metal","point_estimate","variance","CI_lower","CI_upper","model_type"
"1",1,101,1,0.0602624301968731,8.33011497848083e-05,0.0434337493576325,0.077186137982285,"elastic net"
"2",1,101,2,0.00374679606651007,0.00010774764742089,-0.0148388842511598,0.0229868641297818,"elastic net"
"3",1,101,3,0.00658486896855903,7.58485198618078e-05,-0.012184808860883,0.0239516504467922,"elastic net"
"4",1,101,4,-0.000439410267950358,8.01541571350948e-05,-0.0165791680409691,0.0157261706041414,"elastic net"
"5",1,101,5,0.0699776454642926,0.000107501919886644,0.0488964928101216,0.0867935151837903,"elastic net"
"6",1,101,6,-0.0164649694437915,9.33916808925797e-05,-0.0337182446628906,-0.00139163876840999,"elastic net"
"7",1,101,7,0.0103669704417193,6.41151396977826e-05,-0.00475796476516348,0.0240638076910429,"elastic net"
"8",1,101,8,0.00675680035220139,5.60412816696151e-05,-0.00752245850455939,0.0204861318535423,"elastic net"
"9",1,101,9,-0.00496543750117384,8.85315898387728e-05,-0.0236032029326482,0.00941480685763333,"elastic net"
"10",1,101,10,-0.000862844995829226,8.97447388085914e-05,-0.0185285605437048,0.0170406397448574,"elastic net"
"11",1,101,11,0.134962849281411,0.000323418298741211,0.0992658598886404,0.165009542310066,"elastic net"
"12",1,102,1,0.0475915296950433,0.00010324013202292,0.031526379008287,0.0699570580952914,"elastic net"
"13",1,102,2,0.00277570895391088,8.99532088528598e-05,-0.0153367749361625,0.0218668321137584,"elastic net"
"14",1,102,3,-0.00919066161029436,0.000118954901994586,-0.032033128431557,0.0100279543868478,"elastic net"
"15",1,102,4,0.000651242705315358,7.52511474138789e-05,-0.0175365008258843,0.015279344652157,"elastic net"
"16",1,102,5,0.0603871274954983,8.43409708941414e-05,0.0446180732330715,0.0790836717005901,"elastic net"
"17",1,102,6,0.000431585901040865,0.000107711039541252,-0.0185668047116824,0.0196045544131303,"elastic net"
"18",1,102,7,0.0081254525217922,9.57092637444041e-05,-0.00977699713155809,0.0261163409254427,"elastic net"
"19",1,102,8,0.0100783884317588,9.72259611400847e-05,-0.0097247447818953,0.0276317850655246,"elastic net"
"20",1,102,9,0.00722118091273805,0.000115371772910477,-0.0152071294991942,0.0258002026023304,"elastic net"
"21",1,102,10,-0.00660630164972087,7.19890255780818e-05,-0.0223465634477049,0.0116596314539601,"elastic net"
"22",1,102,11,0.121465253357083,0.000608119381792721,0.0699067547571274,0.162612101030945,"elastic net"
"23",1,103,1,0.0510607231633393,0.000130840124743204,0.0313924044240374,0.0741248360579525,"elastic net"
"24",1,103,2,-0.00315450896859026,7.66738987085146e-05,-0.0225868124625604,0.0141613409515281,"elastic net"
"25",1,103,3,-0.00700765129461578,9.90130270562661e-05,-0.0266107710128854,0.0125631629159928,"elastic net"
"26",1,103,4,0.0162405685714155,8.74608601701592e-05,-0.00207909510422026,0.0333572042656766,"elastic net"
"27",1,103,5,0.0534976339059579,0.000115626326196546,0.030420356229465,0.0714153411032954,"elastic net"
"28",1,103,6,-0.0249309409488447,8.82656373749084e-05,-0.041971403716205,-0.00385586870836838,"elastic net"
"29",1,103,7,-0.00831489287395604,9.95402760460958e-05,-0.0218072172549047,0.0166741114686193,"elastic net"
"30",1,103,8,0.0001777218788237,0.000110857144520597,-0.0208741678763965,0.0197638757837488,"elastic net"
"31",1,103,9,0.00519844306209327,7.12970026568682e-05,-0.00964151197080141,0.0241084512334483,"elastic net"
"32",1,103,10,0.0147737885167754,6.10894898454962e-05,-0.00033057042174523,0.0271845870692771,"elastic net"
"33",1,103,11,0.0975408850123969,0.00034437057737386,0.0593749006729034,0.129478351423771,"elastic net"
"34",1,104,1,0.0574365520274198,0.000108083554266383,0.0373487896217232,0.076614370603251,"elastic net"
"35",1,104,2,-0.00523018085943794,9.46129641772285e-05,-0.0255985664186409,0.0103450268781286,"elastic net"
"36",1,104,3,0.00147716252540797,0.000107592541540991,-0.0183206352767075,0.0194310638029254,"elastic net"
"37",1,104,4,-0.00154954621828818,0.00011335464879446,-0.0230229536145672,0.018648183326131,"elastic net"
"38",1,104,5,0.0698107793712295,0.000119057528688781,0.0498130422969147,0.0892648990183966,"elastic net"
"39",1,104,6,0.0122647456015952,5.99763794506986e-05,-0.00171903861327147,0.0278240007460989,"elastic net"
"40",1,104,7,-0.00192980113873054,9.18605656350594e-05,-0.0222614165246662,0.0156705504116346,"elastic net"
"41",1,104,8,-0.0020813569043252,0.000107955151266587,-0.0192092728582495,0.0197896735998715,"elastic net"
"42",1,104,9,0.00544028755779458,8.51471682476213e-05,-0.0103902480473741,0.0251656232601787,"elastic net"
"43",1,104,10,-0.00719597824251816,9.49109482483981e-05,-0.0256056683455895,0.00961884693264513,"elastic net"
"44",1,104,11,0.128442663720147,0.000370782876862966,0.0829624029487958,0.151756332677024,"elastic net"
"45",1,105,1,0.0575488508384101,8.31677278445806e-05,0.0391214043307224,0.0780382526544479,"elastic net"
"46",1,105,2,0.00380842576079266,0.000102594285129367,-0.0142840888133481,0.0223700370016812,"elastic net"
"47",1,105,3,-0.0108279560188036,0.000106900288182776,-0.030888749398089,0.00885240155891433,"elastic net"
"48",1,105,4,0.00870603736638031,0.000112508921533072,-0.0111867202910484,0.0316309222963261,"elastic net"
"49",1,105,5,0.0620456521152466,0.000106513048415587,0.0416151021830723,0.0812470428297741,"elastic net"
"50",1,105,6,-0.00732331376152873,7.84358291656083e-05,-0.0258395983772844,0.010160116367219,"elastic net"
"51",1,105,7,0.0038342391792896,7.47723784079333e-05,-0.0127801838895767,0.0187863587217614,"elastic net"
