"","scenario","dataset","metal","point_estimate","variance","CI_lower","CI_upper","model_type"
"1",1,226,1,0.076220068090191,0.000115207523547007,0.0532797993278609,0.0954149613261562,"elastic net"
"2",1,226,2,0.0159553976608566,0.000114109573142751,-0.0034687107688258,0.0350833292446703,"elastic net"
"3",1,226,3,-0.0079151297792226,8.21694823468977e-05,-0.0224078250479548,0.0108666093214445,"elastic net"
"4",1,226,4,0.00217006182913293,0.000136227872743889,-0.0151534304022486,0.0248320573393258,"elastic net"
"5",1,226,5,0.062396753740694,0.00010640294639186,0.0437681684971324,0.0823205841614939,"elastic net"
"6",1,226,6,-0.00420839485373969,7.60585376402145e-05,-0.0217061835072642,0.0136004798191997,"elastic net"
"7",1,226,7,0.00610739695526474,9.68375974380279e-05,-0.0125009926774107,0.0236982154489323,"elastic net"
"8",1,226,8,-0.00813298762499048,9.22875539262332e-05,-0.0258190769047057,0.00903089116511295,"elastic net"
"9",1,226,9,-0.00696448407770411,0.000100284403155564,-0.0237641445849648,0.0154447332026003,"elastic net"
"10",1,226,10,-0.0152031172313225,8.23785846137151e-05,-0.0322150194656356,0.00172918580800344,"elastic net"
"11",1,226,11,0.12042556470916,0.000489111698706577,0.0746689685250368,0.164923007924649,"elastic net"
"12",1,227,1,0.0738649886255405,8.43769981622126e-05,0.0566927057645419,0.090810503736959,"elastic net"
"13",1,227,2,-0.00223085155114378,9.61157416492385e-05,-0.0213869626432252,0.017176229274717,"elastic net"
"14",1,227,3,0.00756400883427277,7.89144322047995e-05,-0.0101561802824678,0.0246294212371262,"elastic net"
"15",1,227,4,0.000780073707651319,7.58551071411169e-05,-0.0153045879107217,0.0191725746486502,"elastic net"
"16",1,227,5,0.0729928164825306,0.000103608731529966,0.0509707192059997,0.0886257616400495,"elastic net"
"17",1,227,6,-0.00944973399424454,5.63584678853375e-05,-0.0234506431977715,0.00450074833875193,"elastic net"
"18",1,227,7,0.00533260442237316,9.17337184120428e-05,-0.0111937057579319,0.0230483575518071,"elastic net"
"19",1,227,8,-0.00551113513339541,7.40274117452011e-05,-0.0233494286148292,0.00823871899854298,"elastic net"
"20",1,227,9,-0.0115372482041884,8.87023390142174e-05,-0.025807809763947,0.00944452769585074,"elastic net"
"21",1,227,10,-0.00907984470235057,8.44962641063351e-05,-0.0241888092618962,0.00713084791288261,"elastic net"
"22",1,227,11,0.122725678487047,0.000449845810790128,0.0745815386637606,0.156429175421052,"elastic net"
"23",1,228,1,0.0673431942305884,0.000109283396999566,0.0501665825761592,0.0883093263346513,"elastic net"
"24",1,228,2,-0.0104413385967757,8.8148101098577e-05,-0.0256884116268919,0.00775411292644199,"elastic net"
"25",1,228,3,0.00563661442237251,9.26876286374211e-05,-0.0119810751525446,0.0239568974611249,"elastic net"
"26",1,228,4,-0.0192598523900389,7.47070313378862e-05,-0.0346739389960424,-0.00163541098356417,"elastic net"
"27",1,228,5,0.0676365915670936,8.99186992815522e-05,0.048202226427783,0.0854370066279476,"elastic net"
"28",1,228,6,0.00796596271892236,0.000107558888396409,-0.0130693880513798,0.0291341180625451,"elastic net"
"29",1,228,7,0.00471336350373486,8.71003223163611e-05,-0.0120548694358935,0.0253183027806747,"elastic net"
"30",1,228,8,0.00927087404663585,0.00011640665852484,-0.0139194207073585,0.0292577919103659,"elastic net"
"31",1,228,9,-0.00563984665775008,8.38209041022762e-05,-0.0217710769523398,0.0108459734446134,"elastic net"
