"","scenario","dataset","metal","point_estimate","variance","CI_lower","CI_upper","model_type"
"1",1,61,1,0.0698616862627395,9.51032820499033e-05,0.0549946462784506,0.0900804678720596,"elastic net"
"2",1,61,2,-0.0166224537229893,9.59336745472221e-05,-0.0334963054761128,0.00222944959315795,"elastic net"
"3",1,61,3,0.00218348307975358,7.29486746880358e-05,-0.0151368283030709,0.0195606742062107,"elastic net"
"4",1,61,4,0.000340740248577776,7.01166037492413e-05,-0.0127446186767765,0.0213623532639891,"elastic net"
"5",1,61,5,0.0579091376961269,8.379621926086e-05,0.0408975230210219,0.0763267854358331,"elastic net"
"6",1,61,6,-0.000924973586804656,8.59785731637827e-05,-0.0200591800761021,0.0149086550929108,"elastic net"
"7",1,61,7,0.0112523753213223,8.69019902994896e-05,-0.00606389126809246,0.0268015263521195,"elastic net"
"8",1,61,8,0.000309175284767038,9.24926249976366e-05,-0.017422039121503,0.0174750653500884,"elastic net"
"9",1,61,9,-0.00339214302922186,7.92821202214252e-05,-0.0196821046946704,0.0125676228072021,"elastic net"
"10",1,61,10,0.00264453217087923,6.73994664269704e-05,-0.0111798698093819,0.020036028534072,"elastic net"
"11",1,61,11,0.12356155972515,0.000374169513306057,0.0925940666505958,0.16191880972315,"elastic net"
"12",1,62,1,0.0860842816606249,7.19546880255953e-05,0.0701009492422794,0.104152822299473,"elastic net"
"13",1,62,2,0.00483841170408428,9.79407803534793e-05,-0.0101333670397907,0.0246714690305645,"elastic net"
"14",1,62,3,0.0016984031115399,8.54246841078983e-05,-0.016507952710623,0.0208003286070485,"elastic net"
"15",1,62,4,0.00347913052025817,6.01563059637221e-05,-0.0117798128422809,0.0189294683107421,"elastic net"
"16",1,62,5,0.0627952473102706,0.000133892444332611,0.0406571885938319,0.0844660929435902,"elastic net"
"17",1,62,6,-0.00129035508124975,0.000102773082452243,-0.0187932764377058,0.0192903693150626,"elastic net"
"18",1,62,7,0.00217860297724037,0.000135239088176235,-0.015933738000898,0.0256307137027163,"elastic net"
"19",1,62,8,-0.00620026700309162,8.56525553909809e-05,-0.0182496399751296,0.014849540559038,"elastic net"
"20",1,62,9,0.0182381236041593,8.50512934874461e-05,0.0014409537557457,0.0360919287755477,"elastic net"
"21",1,62,10,-0.00750535006158892,8.48566030105602e-05,-0.0281000611192112,0.00623383779676359,"elastic net"
"22",1,62,11,0.164316228742247,0.00045432551372027,0.134410525923496,0.205453181417491,"elastic net"
"23",1,63,1,0.0755228726938788,8.66346864618557e-05,0.0564399347090411,0.0920367181306553,"elastic net"
"24",1,63,2,0,7.56615703891727e-05,-0.0145635395067633,0.0191030376501875,"elastic net"
"25",1,63,3,-0.00475384256939093,7.61388440909996e-05,-0.0209082483453887,0.0141844791361391,"elastic net"
"26",1,63,4,0.00299053456270304,9.0255840413543e-05,-0.0104447515231178,0.0229452855170835,"elastic net"
"27",1,63,5,0.0627935465492147,9.57255412441651e-05,0.044695323679862,0.0818184493771955,"elastic net"
"28",1,63,6,-0.00961176480377945,7.19400103956571e-05,-0.0251034942085957,0.00536055372416552,"elastic net"
"29",1,63,7,-0.00662395276755623,9.31415292297549e-05,-0.0257229407558627,0.00925148247404032,"elastic net"
"30",1,63,8,-0.00202125597315317,7.41703201739341e-05,-0.0206596523492217,0.0116125497515217,"elastic net"
"31",1,63,9,0.00887898892100925,7.31425753954925e-05,-0.0085026434914862,0.0249016749628654,"elastic net"
"32",1,63,10,0.0106104833176905,0.000110291193113672,-0.00736065156912913,0.0320488729047878,"elastic net"
"33",1,63,11,0.137785609930617,0.000404791686658627,0.102239008213119,0.179361252064584,"elastic net"
"34",1,64,1,0.0592335646044218,7.45505391726221e-05,0.0446964909480391,0.0767970842820106,"elastic net"
"35",1,64,2,0.00431940788186669,9.62259613633846e-05,-0.0128369168291401,0.0228918613582813,"elastic net"
"36",1,64,3,-0.00971336136487144,0.000127434233672198,-0.0320649550009561,0.0109552865090589,"elastic net"
"37",1,64,4,0.0087742257033292,0.000102461073401805,-0.00951324864503524,0.0277968014476929,"elastic net"
"38",1,64,5,0.0645815102436085,0.000107079464621929,0.0473128591627263,0.0839766582485581,"elastic net"
"39",1,64,6,-0.00337747887521633,9.07636416698292e-05,-0.0201641565562633,0.0144117768245776,"elastic net"
"40",1,64,7,-0.000630125281165128,6.65060011043503e-05,-0.0184814263182672,0.0147068105186726,"elastic net"
"41",1,64,8,0.0146349597607234,9.40369234920712e-05,-0.00237382103592831,0.0347086493907828,"elastic net"
"42",1,64,9,-0.00637187361252511,9.76910505508372e-05,-0.0238535727362175,0.0111722271289255,"elastic net"
"43",1,64,10,0.00231131448542099,8.04805171780277e-05,-0.0149397786512557,0.0179724435727758,"elastic net"
"44",1,64,11,0.133762143545593,0.000490448566407342,0.091936034576779,0.171102699215155,"elastic net"
"45",1,65,1,0.0626429990896,9.95704001974544e-05,0.045119789637603,0.0804733559591165,"elastic net"
"46",1,65,2,0.00224902885078615,9.70709851307858e-05,-0.014103699226466,0.0247086127015145,"elastic net"
"47",1,65,3,0.0131766302907981,8.66027781872095e-05,-0.0025018039176198,0.0325957741340296,"elastic net"
"48",1,65,4,0,8.5670157468912e-05,-0.0171889902482563,0.0169587164194854,"elastic net"
"49",1,65,5,0.0754403556140735,0.000100613740889333,0.0565236279358244,0.0940105120406637,"elastic net"
"50",1,65,6,0.00399925229682441,9.81051418981351e-05,-0.0145257601590456,0.0253896155057088,"elastic net"
"51",1,65,7,0.00119774683569185,7.41717664658207e-05,-0.0166900696942724,0.0161784593199464,"elastic net"
"52",1,65,8,0.00361460918687762,8.00259088469462e-05,-0.0102882055717242,0.0219483474895248,"elastic net"
"53",1,65,9,0.00256738722773031,0.000118025375514218,-0.0167751793527224,0.0246029682277329,"elastic net"
"54",1,65,10,-0.00848793065786668,7.74863988060983e-05,-0.0248641952875159,0.00713463744248305,"elastic net"
"55",1,65,11,0.156400078734515,0.000467634756613197,0.121263883579345,0.202274715946523,"elastic net"
"56",2,61,1,0.130444662823433,8.72093449862295e-05,0.114287417450601,0.150279255256107,"elastic net"
"57",2,61,2,-0.00489428091660304,7.59490595019606e-05,-0.0212773721009136,0.0125542937121683,"elastic net"
"58",2,61,3,-0.00706656508950632,8.64483241073755e-05,-0.0217275088166999,0.010601789476408,"elastic net"
"59",2,61,4,-0.00238881392004986,0.000103769163202557,-0.0240387784926777,0.0151236354029531,"elastic net"
"60",2,61,5,0.134941325541252,7.12288026772891e-05,0.117580828160923,0.14940359698376,"elastic net"
"61",2,61,6,-0.0133028261040549,9.51564506927435e-05,-0.0333621244772322,0.00242268094801575,"elastic net"
"62",2,61,7,0.00410151160980732,0.000102866653049579,-0.0137910170013109,0.024864754027943,"elastic net"
"63",2,61,8,-0.0026093271373222,9.64919604963601e-05,-0.0203369104590985,0.0171274669016704,"elastic net"
"64",2,61,9,0.00907633614255454,6.65480902946058e-05,-0.0100565980143563,0.0245144970565807,"elastic net"
"65",2,61,10,0,9.72703782310846e-05,-0.0162886668814839,0.0189721759453524,"elastic net"
"66",2,61,11,0.248302022949511,0.000404777291445855,0.211197762229492,0.281074330363307,"elastic net"
"67",2,62,1,0.121845975405943,7.38869083581608e-05,0.106866447320978,0.141710272651409,"elastic net"
"68",2,62,2,0.00949691007329267,9.12659413445911e-05,-0.00459453103840298,0.0314654859279716,"elastic net"
"69",2,62,3,0.000970391871655263,7.36519993812276e-05,-0.0162758628823997,0.0173662963108172,"elastic net"
