"","scenario","dataset","metal","point_estimate","variance","CI_lower","CI_upper","model_type"
"1",1,376,1,0.0537518886378294,0.000101120820629229,0.0326482264176582,0.0706864854416678,"elastic net"
"2",1,376,2,0.00299508482200572,7.05046422038796e-05,-0.0123802173681473,0.0164098212461378,"elastic net"
"3",1,376,3,-0.00527664973056829,8.17408348374608e-05,-0.0231917578053538,0.0116167291681184,"elastic net"
"4",1,376,4,-0.00919144216952916,8.84863844631433e-05,-0.0252462991575135,0.011241023903765,"elastic net"
"5",1,376,5,0.0719635863656884,8.58944336873928e-05,0.0548259365335997,0.0872914252697962,"elastic net"
"6",1,376,6,-0.0218768283795414,9.84917792172739e-05,-0.0409920471340088,-0.00459061102718267,"elastic net"
"7",1,376,7,0.00681557566493174,8.57015676836875e-05,-0.00973243155787444,0.0258053747108304,"elastic net"
"8",1,376,8,-0.00299616935050029,7.31575962855193e-05,-0.0207134094411475,0.0127425358116676,"elastic net"
"9",1,376,9,-0.00632747500643127,0.000132985137448616,-0.0323796173585493,0.0115097452432208,"elastic net"
"10",1,376,10,0.00313851251408659,8.8649951237633e-05,-0.0137597534058165,0.0214946850908003,"elastic net"
"11",1,376,11,0.0929960833679715,0.000499103929787706,0.0569710605842498,0.141331831216136,"elastic net"
"12",1,377,1,0.0609540851357007,8.97255685466055e-05,0.0427368238150769,0.0815240250138806,"elastic net"
"13",1,377,2,0,0.000112900554261621,-0.0175863326638972,0.0173850112258837,"elastic net"
"14",1,377,3,0.0119942019438881,8.98478168063823e-05,-0.00419617148157574,0.0303233500683614,"elastic net"
"15",1,377,4,-0.00666052999082378,9.75288430408185e-05,-0.0252333992948164,0.0118285996634774,"elastic net"
"16",1,377,5,0.0537228721381033,0.000101478730363321,0.0337671562339118,0.069692821438881,"elastic net"
"17",1,377,6,-0.0103274847352979,7.60443725798773e-05,-0.0268012570431293,0.00569335547091337,"elastic net"
"18",1,377,7,-0.00585460128429904,8.51920152310081e-05,-0.0220678281907234,0.0106903118424422,"elastic net"
"19",1,377,8,0,9.42510617495766e-05,-0.0201071477455308,0.0207492954621489,"elastic net"
"20",1,377,9,0.0140003936805699,7.54634362019235e-05,-0.00227507623307903,0.0269456000624486,"elastic net"
"21",1,377,10,0.00928796293259815,0.000120118090365466,-0.00941923967322811,0.0298237253841629,"elastic net"
"22",1,377,11,0.127116899820439,0.000334168376487668,0.0926872081401353,0.156813327016545,"elastic net"
"23",1,378,1,0.0651904750766865,7.89449126086589e-05,0.0500625602185185,0.0843937945649396,"elastic net"
"24",1,378,2,0.00700817254249175,7.99956215571971e-05,-0.00896975069133059,0.0237333416957413,"elastic net"
"25",1,378,3,-0.00558589046813118,0.000103767625877868,-0.0238638724864812,0.0137832615488847,"elastic net"
"26",1,378,4,0.00399046285249893,0.000112230028838029,-0.0153583819681804,0.0235020493990918,"elastic net"
"27",1,378,5,0.0717297312243019,7.01224567148476e-05,0.059070701530005,0.0896507579467509,"elastic net"
"28",1,378,6,-0.0106464384713085,9.8462915635116e-05,-0.0304290426585975,0.00696822915011992,"elastic net"
"29",1,378,7,0.0013007517166681,6.95045830903255e-05,-0.015990133256465,0.0163100012013457,"elastic net"
"30",1,378,8,0.00860358689671425,7.60428114136687e-05,-0.00716505326479444,0.0262522365927586,"elastic net"
"31",1,378,9,0.0163427119607367,8.29028202212762e-05,-0.000602984588489441,0.0334871261329866,"elastic net"
"32",1,378,10,-0.00148872875054007,0.000100297195300437,-0.0202140925553393,0.0180279010935059,"elastic net"
"33",1,378,11,0.156444834580118,0.000433638824672989,0.122020533874047,0.201766037923716,"elastic net"
"34",1,379,1,0.0780627365311422,8.72283248394491e-05,0.0584963099754809,0.0948689910205503,"elastic net"
"35",1,379,2,0.00330284803553527,0.00010382191045578,-0.0155711310265991,0.0247998720012879,"elastic net"
"36",1,379,3,-0.00045379750330321,0.000121297202058685,-0.019407740277081,0.0217243446115046,"elastic net"
"37",1,379,4,0.00729583858542648,6.87923946669224e-05,-0.00745979577051961,0.0204441867647184,"elastic net"
"38",1,379,5,0.0658181536961284,0.000101883440930839,0.045542030136465,0.0828961846263121,"elastic net"
"39",1,379,6,-0.00100745829803417,7.87752240539953e-05,-0.0166818781427955,0.0185991879789624,"elastic net"
"40",1,379,7,-0.00348624045769608,8.92125601947259e-05,-0.0209557955639103,0.0150073543204282,"elastic net"
"41",1,379,8,0.00164388973117591,9.37818814934062e-05,-0.0137562754827191,0.0260767925116748,"elastic net"
"42",1,379,9,0.00545891368382767,8.4148733949378e-05,-0.0142885036029966,0.0213551170397098,"elastic net"
"43",1,379,10,0.0101091384325651,9.82177340001273e-05,-0.0123584051497454,0.0287173387482144,"elastic net"
"44",1,379,11,0.166744022436767,0.000454317864881206,0.130028442973523,0.211623616805709,"elastic net"
"45",1,380,1,0.0830044243418699,0.000111063473284178,0.0624276380442143,0.105117567148046,"elastic net"
"46",1,380,2,0.001333877933547,9.90802378866495e-05,-0.0179153078512423,0.0205121752156842,"elastic net"
"47",1,380,3,-0.0179242389532965,8.11336491969731e-05,-0.0365975641811755,-0.00032062012554856,"elastic net"
"48",1,380,4,0.00363469511175385,7.85647248472918e-05,-0.0145897747064169,0.0167830063319457,"elastic net"
"49",1,380,5,0.0780770766436185,9.01602414316155e-05,0.0576999714665615,0.0946444802394867,"elastic net"
"50",1,380,6,0.000877634601187616,0.000102315608786441,-0.0196420823189682,0.0194443791578449,"elastic net"
