scenario,metal,mean_relative_bias,median_relative_bias,RMSE,coverage,power,avg_time,model_type
11,1,-1.0761087814034243,-0.42985972717961335,14.595666297276,0.88,0.125,0.09258033965031306,linear
11,2,-0.15043385290808214,-0.17936647604555075,10.77005091302343,0.835,0.16499999999999998,0.09258033965031306,linear
11,3,0.22274225090163707,0.30798931338461544,11.47239240681245,0.875,0.13500000000000004,0.09258033965031306,linear
11,4,-1.2608409870038761,-0.6242029552640078,12.239994399863196,0.87,0.125,0.09258033965031306,linear
11,5,0.12284724137768777,0.017983311522344905,12.927145382422463,0.86,0.15999999999999995,0.09258033965031306,linear
11,6,NA,-Inf,11.38981232363041,0.865,0.865,0.09258033965031306,linear
11,7,NA,-Inf,11.514872408926156,0.8800000000000001,0.8800000000000001,0.09258033965031306,linear
11,8,NA,-Inf,11.186127864830144,0.875,0.875,0.09258033965031306,linear
11,9,NA,-Inf,11.572858051236109,0.895,0.895,0.09258033965031306,linear
11,10,NA,Inf,14.41101285445995,0.85,0.85,0.09258033965031306,linear
11,11,0.4075081409343994,0.5335431306389867,22.959678256148674,0.895,0.11999999999999997,0.09258033965031306,linear
12,1,-0.4496527555297449,-0.437204961416518,9.635836805928507,0.865,0.13000000000000003,0.09232282398144404,linear
12,2,-0.044251932115131384,-0.1191017678126586,9.210066332811403,0.89,0.355,0.09232282398144404,linear
12,3,-0.6231198278184359,-0.5549741256293244,9.945099802408707,0.8450000000000001,0.11999999999999995,0.09232282398144404,linear
12,4,0.5432266089557449,0.718523382506117,10.955751033051316,0.855,0.15000000000000002,0.09232282398144404,linear
12,5,-0.02215229706363637,0.011757688231078586,9.490978732848257,0.8450000000000001,0.235,0.09232282398144404,linear
12,6,NA,-Inf,11.058381372607496,0.875,0.875,0.09232282398144404,linear
12,7,NA,NA,11.346551590783605,0.81,0.8099999999999999,0.09232282398144404,linear
12,8,NA,-Inf,10.458811287054441,0.885,0.885,0.09232282398144404,linear
12,9,NA,Inf,10.70868229422069,0.8649999999999999,0.8649999999999999,0.09232282398144404,linear
12,10,NA,-Inf,10.091345320717323,0.855,0.855,0.09232282398144404,linear
12,11,-0.11367752752401807,-0.11057159780673784,16.97474137228275,0.86,0.27,0.09232282398144404,linear
11,1,-0.867456843852428,-1,13.73951837172927,0.875,0.125,0.5316780440211296,elastic net
11,2,-0.8802918935265025,-0.795068166577248,10.204692229974825,0.83,0.145,0.5316780440211296,elastic net
11,3,0.15736444087496446,0.4028042626191406,11.372833128672644,0.875,0.15,0.5316780440211296,elastic net
11,4,-0.8598415298638101,-0.7431332800904829,11.44574928216424,0.875,0.13000000000000006,0.5316780440211296,elastic net
11,5,0.14505759242119784,-0.09432876056984021,12.346746588825708,0.88,NA,0.5316780440211296,elastic net
11,6,NA,NA,10.992832359037934,0.855,0.855,0.5316780440211296,elastic net
11,7,NA,NA,10.504177597553927,0.8850000000000001,0.8850000000000001,0.5316780440211296,elastic net
11,8,NA,NA,10.0968568374439,0.87,0.8699999999999999,0.5316780440211296,elastic net
11,9,NA,NA,11.19669481058527,0.895,NA,0.5316780440211296,elastic net
11,10,NA,NA,13.962122782671628,0.87,NA,0.5316780440211296,elastic net
11,11,0.4343250297593406,0.569079385464996,21.635582323048027,0.865,0.15499999999999997,0.5316780440211296,elastic net
12,1,0.1142203630918685,-1,9.26758894480806,0.8699999999999999,0.10999999999999999,0.5286709535860353,elastic net
12,2,-0.08055140744044242,-0.13357175698689455,8.710202173104166,0.895,NA,0.5286709535860353,elastic net
12,3,-0.49770793707489974,-0.2884033925091086,9.62615697247759,0.8400000000000001,0.13999999999999996,0.5286709535860353,elastic net
12,4,0.654298766382941,0.2957889295959757,10.762832642198752,0.83,0.17500000000000004,0.5286709535860353,elastic net
12,5,-0.002521620088962244,0.029815677791429764,9.277606738928744,0.825,NA,0.5286709535860353,elastic net
12,6,NA,NA,9.478236166651136,0.915,NA,0.5286709535860353,elastic net
12,7,NA,NA,10.967615539405715,0.8150000000000001,0.8150000000000001,0.5286709535860353,elastic net
12,8,NA,NA,9.77107982241009,0.8800000000000001,0.8800000000000001,0.5286709535860353,elastic net
12,9,NA,NA,9.636760783961098,0.8850000000000001,0.8850000000000001,0.5286709535860353,elastic net
12,10,NA,NA,9.560351333661504,0.8600000000000001,0.8600000000000001,0.5286709535860353,elastic net
12,11,-0.010057158502398595,-0.01414700226397627,15.149373480072576,0.8899999999999999,0.29,0.5286709535860353,elastic net
11,1,-1.3590449900826984,-1,2.2355113489209946,0.5349999999999999,NA,3.5016500095526375,MARS
11,2,-0.5362349608633065,-1,3.4786430409670026,0.605,NA,3.5016500095526375,MARS
11,3,-1.2920709025780301,-1,4.045166755875969,0.6549999999999999,NA,3.5016500095526375,MARS
11,4,-2.450097744478379,-1,9.243286547666303,0.8349999999999996,NA,3.5016500095526375,MARS
11,5,-0.959033789675903,-1,4.936690875873731,0.6049999999999998,NA,3.5016500095526375,MARS
11,6,NA,NA,4.313869017629464,1,NA,3.5016500095526375,MARS
11,7,NA,NA,4.956942811282976,1,NA,3.5016500095526375,MARS
11,8,NA,NA,7.255042447074344,1,NA,3.5016500095526375,MARS
11,9,NA,NA,6.319767263049403,1,NA,3.5016500095526375,MARS
11,10,NA,NA,7.159392696600335,1,NA,3.5016500095526375,MARS
11,11,1.9078471107029535,-0.904174356681967,17.93142026040403,1,NA,3.5016500095526375,MARS
12,1,-1.5148403267582828,-1,2.564268892985136,0.52,NA,3.482740777671337,MARS
12,2,-0.9282103244034765,-1,9.707243822356185,0.6549999999999999,NA,3.482740777671337,MARS
